id,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,price,pred
0,8349.927994356838,8347.671992125004,8374.8126478729,8384.1570149145,8368.712800165413,8365.577188030853,8227.171,27587,8318.123566096117
1,3985.761719499368,4009.450083417655,3988.6916548604568,3988.850911140883,3991.109781562905,4005.7519974921292,3704.7322,4724,3900.518081519477
2,2918.1853950791883,2933.057596366014,2921.0017869529834,2921.707667659733,2917.4743878752793,2941.1566252811763,2834.8005,10931,2903.1883163718558
3,8048.014372980011,8064.602372381993,8060.942060546251,8061.291081432624,8059.011797823175,8067.291115128791,8023.76,16553,8052.2703125364515
4,4406.907982570167,4421.06858746084,4408.700347496809,4412.510810317814,4412.382296195883,4383.119600640769,4103.224,5158,4287.762823255277
5,6832.731616909507,6826.846134739227,6838.146212451449,6839.022443053851,6839.797623748789,6789.5116945866885,6789.5425,7941,6792.499726569167
6,6377.795160930267,6409.44918626584,6406.156481089078,6402.765641189904,6399.443006419975,6450.587620491149,6175.5156,5860,6352.767875413003
7,4067.8665946006963,4099.896454871766,4091.232331950204,4090.191717636105,4094.545931790558,4095.0739231536913,3879.9631,2799,4021.041229941501
8,6478.7224227179495,6475.985055529359,6460.747265726957,6466.320553748044,6461.3920499931655,6428.120395526205,6484.922,6036,6449.910042871564
9,4815.634900316795,4826.0638417493865,4814.3722602352445,4816.153403197854,4813.01811090857,4789.148660236803,5020.046,7341,4871.554440400155
10,8818.125241125308,8827.143848801834,8857.092156527195,8854.654082344035,8850.263821597528,8834.61745704881,8449.584,10880,8702.058592184334
11,7497.5439393820125,7509.557807308207,7506.754524991664,7513.624251411747,7513.134486745778,7492.426033399443,7033.762,5757,7334.199445590674
12,15344.936457944634,15415.480278524143,15361.085240835695,15361.538140206463,15363.463127283785,15462.79206890872,15327.136,11039,15411.473920260958
13,7097.778702782984,7117.550617766163,7123.0736988442795,7129.9920086373495,7136.508992607141,7075.8292102193745,6775.098,8760,6975.321443747683
14,5540.402047278019,5556.858974115278,5555.506394343836,5556.79598463123,5554.653790286629,5567.117281699929,5512.0327,17244,5547.8163175301725
