id,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,price,pred
0,8759.290471425838,8929.54603237527,8916.32216528604,8977.757096860085,8805.219622703762,7895.416,27587,8347.671992125004
1,3859.9105471528887,3825.5081987187514,3822.1047059860916,3876.0472820990426,3799.844507756544,4177.358,4724,4009.450083417655
2,3027.7606487820785,3049.4931763921377,2982.516291534038,3056.6486276118876,2959.8618541976275,2818.1372,10931,2933.057596366014
3,7990.517288963987,8005.60090585422,7993.295605512585,7894.338559359676,7934.654499711315,8179.846,16553,8064.602372381993
4,4524.287996781556,4479.006617372421,4569.630682559179,4570.899182064446,4461.927714741202,4321.6885,5158,4421.06858746084
5,6785.0676041180295,6751.2423830864445,6875.717823175129,6564.487105387299,6753.795923373193,6948.136,7941,6826.846134739227
6,6398.870767431399,6441.724286879878,6304.799483158609,6331.166426919408,6365.397271255588,6407.363,5860,6409.44918626584
7,4052.304341874197,3999.7936120115655,4027.3890749192637,4073.6067581404277,4051.684853845723,4139.258,2799,4099.896454871766
8,6570.220869266854,6554.722679153038,6638.552351938248,6515.665162065755,6430.555850097078,6430.2725,6036,6475.985055529359
9,5031.605278339258,4992.724978847306,5034.517311072108,4947.716095863091,4915.357622660885,4624.7246,7341,4826.0638417493865
10,9003.481222024659,9040.77255818408,9037.587784059187,8758.508757309317,9019.84457910347,8672.198,10880,8827.143848801834
11,7403.249572672938,7419.882776082008,7528.41523585982,7557.440881557048,7416.921344126994,7653.6035,5757,7509.557807308207
12,14746.129197371298,14762.143720533673,14624.66511670219,14825.594201590495,14605.420906436239,16166.566,11039,15415.480278524143
13,7002.790397823201,6950.340232438655,7184.335055095461,7192.04249137149,7093.509531455802,7265.5337,8760,7117.550617766163
14,5534.24412689547,5562.216167830033,5544.846242212412,5559.216474435766,5523.47648114392,5587.3413,17244,5556.858974115278
15,8431.684573586925,8678.509559647133,8435.292102012849,8751.733557596786,8383.596908654135,8006.109,3389,8244.856600368477
16,3522.140331284954,3503.2075384086183,3632.8427082504336,3606.715978258587,3625.334224135365,3377.2458,3963,3453.1496268566584
17,9947.643196496629,9993.988427231807,10026.074450138713,9844.686675388193,9865.347068143883,8640.637,36783,9311.964646725975
18,2817.701865622742,2776.4686350883876,2786.1439007181984,2845.1810856448856,2873.128618126927,2507.0007,3289,2688.186636104666
19,7969.728307382603,7868.106813009062,8025.53646072793,7952.826088692134,8212.768377581155,8207.3125,27556,8096.629816255411
20,4179.860617540133,4144.487841664954,4215.532070377551,4040.373713038405,4304.030021968836,3901.0295,4688,4048.284195053159
21,3496.689678847776,3460.4056228196932,3503.515690304122,3504.348943725725,3494.391340076981,2767.2449,3907,3159.2838577209254
22,9014.214655394926,8975.318301635969,8976.52856268447,8980.801546469282,8860.852018490552,8232.465,20237,8642.022940192106
23,18282.238009096407,18508.843925403115,18196.919427789675,18728.641596294856,17712.601494387007,19611.102,37763,18879.474890565893
24,6992.761870826905,6921.679103134119,6878.932301902722,6923.8447353287,6677.083605772094,6695.5947,7271,6839.8896874505535
25,8451.343521016739,8578.614281340762,8437.349957294547,8571.218213408092,8379.164305153558,7648.2783,11945,8079.526167341422
26,5868.304580206363,5803.238111164343,5878.857693287776,5920.875077793201,5869.159318214758,6006.065,9235,5936.079002720075
27,11973.207360587106,12039.726751558539,11905.597047746309,12085.826377583333,11637.075149720258,11569.268,15940,11769.824585325976
28,5331.510447933177,5336.701573571194,5454.3238807804655,5357.343063076728,5331.694426493635,5821.381,16337,5538.805067700555
29,5268.28941267194,5279.328941750971,5253.714496581798,5256.997010402604,5213.954825111674,4937.3896,7264,5110.967121671671
30,7984.034290480892,8096.120601453763,8045.8245990779005,7898.942730101849,7850.661241817905,7892.0464,31696,7907.736540926561
31,5133.577483640508,5132.587642854544,5093.635100477511,5153.67191355177,5098.865056480423,5222.256,14750,5179.458019370197
32,3010.8224795531128,2995.2518971127042,2976.4842193093305,2958.631875251129,2928.065910526754,2720.1716,1406,2870.4959249242165
33,4763.385764827556,4768.632368458941,4632.121245022672,4633.994358519685,4659.818709870062,4582.178,6063,4682.121297563043
34,8112.857523151534,8297.379649403198,8258.799670362709,8156.031990797998,8014.602224397852,7961.6406,8432,8005.282388006249
35,8993.696448176861,8977.77300457536,9339.15729351335,9007.878680043601,8974.571706113718,8287.297,8403,8606.717206248088
36,7093.255769326047,7105.086581720538,7140.204327422744,7097.751488405931,7040.634783944535,6931.224,16079,7004.777806720104
37,10873.375826421048,11002.801713821198,10640.610823766736,11197.414570117759,10666.25175926342,10308.624,23375,10650.514626411821
38,14591.688292578023,14648.301426635582,14670.144642575338,14796.416421687816,15051.602789698307,17512.066,6655,15989.755885093165
39,3778.3900975494525,3761.538584402531,3784.8207273666785,3739.487677997615,3716.1782592259815,3447.4604,7142,3615.4768599287204
40,3970.384284183307,3944.353621935047,3949.906051902846,4040.016052196016,3923.1532215428138,3782.7957,6411,3888.0832457188144
41,19357.489805431676,19564.75422866903,19055.568470121038,19844.87355112002,18907.11674007115,18818.56,20514,19143.20138245538
42,3276.413873363969,3220.494612945955,3191.5208003341154,3209.8013845297287,3170.67941746539,2841.9937,6205,3076.091164688881
43,12021.930343848351,11858.309852565448,11922.343749775051,11916.96021525175,12081.990933859825,13441.665,17873,12699.699555504754
44,5166.31581135609,5197.274527295936,5203.653441176908,5150.735791303729,5060.369193707395,5361.543,5077,5237.412255874311
45,20423.973570124366,20538.19105269718,20420.58518461118,20323.55168040378,20985.991842682448,19387.725,46743,19991.41928441727
46,3822.4851091146184,3781.165449106051,3743.044290795685,3755.0180583238907,3534.310796722562,3821.424,1027,3802.750838224266
47,4162.915950335146,4202.344788864989,4209.954297670447,4225.526975989458,4009.7995197734904,4082.427,11054,4105.304848276565
48,4227.393775086163,4271.944534771227,4324.451029556338,4307.831582921088,4139.289844190882,4197.6235,8435,4192.379615565588
49,8777.87063746887,8688.266335169259,8742.550337707933,8561.739957198264,8550.493171852475,8208.736,19194,8484.501301570266
50,6180.437414603663,6177.992318590374,6164.143957992055,6206.070348843488,6175.3888999373285,6340.9688,8657,6258.959330300439
51,3261.704384310811,3254.9509665353785,3236.902888665646,3288.7993959135124,3083.6085066274063,3313.3362,10228,3273.9180050363434
52,8512.340742179684,8458.68629123661,8460.18583328918,8636.682786145313,8579.70858576857,8231.072,16321,8408.57137356412
53,4824.217522084944,4835.341046611216,4770.0502312958915,4874.251296768675,4844.6596167397165,4622.6846,4486,4745.627526924026
54,2986.5520848215624,2970.2105024050747,2988.2012538068657,2854.712864150834,3064.6678320463457,2256.2227,5293,2647.1537383682694
55,11956.213643031024,11938.15936798048,11896.916304751572,11991.1397648152,12522.663502520238,13030.71,23954,12524.470730508152
56,4977.768464624308,4969.9180350320385,5057.696344566129,5001.733984375171,4768.913196986173,5206.684,6234,5050.66134806198
57,12766.069721246291,12815.667482006713,12546.96048649122,12723.667811594694,12752.191175943155,13275.561,8938,13033.718640839592
58,14914.656101913353,15121.932402272934,14824.744957510195,15201.142851081111,14349.622583880682,16359.516,13755,15555.893646124994
59,5271.9652739373705,5297.723974220451,5328.090482126848,5234.621948450168,5239.654260659246,4873.3916,3718,5071.049327555773
60,8761.340293631774,8788.703123751657,9047.721065863796,8677.943306161578,8240.638252471244,7356.7324,19077,8002.011209038665
61,1959.0690991982933,1936.6535974745561,1919.387869490322,1771.8781566482144,1887.2119077977368,2259.9092,4364,2085.025968013339
62,7884.933489860554,8035.77145422183,8049.826590157439,8025.989615387051,7793.270554914602,7604.829,16145,7723.171437151375
63,6878.279400766781,6829.161068333718,6870.827517552825,6906.634807989938,6914.122744604596,6603.1616,9561,6759.385638720582
64,2553.758850975161,2563.0960495755303,2602.4827296741496,2581.707613923099,2560.2884873387384,2470.7422,6507,2509.3313689781244
65,8397.665527762152,8404.828527675083,8439.697035640256,8443.026894153378,8065.798593809838,7396.701,8359,7896.400244007833
66,3003.5569772588733,2984.5110797061056,3042.824921567603,3012.3603636565263,2984.87260913306,3519.3652,6207,3234.8422110463016
67,8921.59741822013,8695.088055048473,8564.227249021293,8599.425248017516,8409.838448384071,9217.604,8216,9051.733483701772
68,4959.749832808533,4946.936091703289,4916.324568599304,4814.14548993037,4847.232232510589,5028.5005,9778,4977.499747492368
69,3986.0473618681817,4000.018237383564,3909.069729598464,4003.0453717454147,3756.584811785976,3921.9292,13087,3947.105266069237
70,9316.50104386293,9343.06121236899,9087.18484519511,9342.689413180477,9165.27822332667,8195.756,26359,8822.992096363718
71,9582.261050166588,9406.61397399846,9457.400352066135,9590.432347256321,9615.07126332297,8291.388,11384,9015.483739679301
72,2895.921504922763,2876.677583203682,2939.0827425189236,2873.669991451931,2769.998495051991,2621.7266,4081,2747.7267877961963
73,5528.285038754619,5498.488873854919,5579.64572990169,5493.799736435104,5542.1688283260655,5434.252,7564,5475.724426776475
74,7912.411438191234,7934.250785046414,7886.490023810621,8072.706014110881,7861.275145378528,7977.921,7366,7952.903081019791
75,8170.842188704151,8076.778748500859,8132.077341848042,8047.823267634116,8103.79563253276,8231.072,17869,8192.53614592657
76,17567.98502922528,17403.239109060454,17383.88711415802,17776.336334642434,17172.638777759625,18359.457,39321,17945.820040853137
77,5022.247846077587,5028.138145160762,5026.963674925274,5017.500753512566,5075.618321389905,5098.202,5114,5061.501743759285
78,8480.337875924775,8523.113411833907,8571.313235406746,8622.401453205242,8458.602001005873,8232.465,12874,8356.667932441318
79,9420.941336824362,9355.111690068681,9401.037388837973,9351.682954336919,9362.306422925985,8644.429,36691,9055.967879065487
80,5448.89795896264,5392.0382686773555,5413.236890937503,5414.151180748362,5510.829321010604,5583.7075,5172,5522.946342747324
81,7491.79974188756,7538.102544166142,7477.795927649806,7601.949233439946,7426.3175087248665,7893.4565,17022,7680.019163054497
82,3159.248254623717,3129.0395713193143,3187.426785527104,3165.858042116613,3289.6052077186905,2984.317,2154,3088.063681651313
83,13112.133634426582,13063.003686811202,13258.108976934094,13278.392774104323,13170.696550508306,13325.365,25896,13205.080734462048
84,3619.922448988079,3630.7291144420064,3575.9342220442095,3637.753077013903,3640.758634678603,3260.501,5850,3464.2237421382856
85,12049.01794043018,12081.085517651612,12159.169372347686,12250.529693785704,11872.326608065328,12250.365,14905,12118.814632352041
86,8248.886603341296,8377.635274875764,8433.196004148676,8395.70376377533,8764.450779219944,8379.353,7577,8336.667053919684
87,3514.4440370408884,3515.6723804838025,3452.702397363074,3496.0026025970737,3478.3355369805126,3156.3484,11059,3354.299292691538
88,4887.346077008299,4883.893004981212,5027.651866908237,4898.646403792217,4840.23492786341,5252.573,3492,5028.3314873423715
89,3683.007960690637,3620.94922992983,3728.8639195324213,3584.972723648671,3587.4274893150464,3762.5637,16507,3696.9952171959067
90,7768.985154237504,7792.27147786721,7798.754252527227,7865.870008457407,7622.309408806217,7279.7417,8886,7528.763360129869
91,2613.8891055029017,2728.7548949722677,2550.1798203464605,2745.2346871056016,2474.805535610823,2777.3606,7572,2692.4147381116472
92,4905.687511582776,4874.917411506461,4906.491147737009,4857.322584563829,4786.447414197639,5037.74,3098,4951.977485848737
93,2796.723410032133,2778.9406781255157,2845.9038320166546,2784.0298849498477,2619.309690642931,2415.7346,2276,2593.466691586292
94,5302.703615538888,5312.548572561862,5250.412893213804,5281.819818204156,5136.768486089102,5238.4937,5740,5263.317562577865
95,21729.499579423868,21754.100740438727,21897.020777202368,21519.84927892377,21854.718726528365,20135.82,30566,20959.83837289504
96,16102.819534108783,16118.803531774029,16145.903421045105,16225.036294798701,16451.70183651047,18002.732,24123,17018.621188896625
97,9100.084992783912,8849.30827906528,8966.844017159525,9051.077079253479,9125.702593022592,8372.532,7817,8792.894382945424
98,2609.8084421458266,2636.3644503807327,2640.7076343197823,2650.3680682599474,2582.6716079474395,2682.0496,3063,2637.285845791643
99,6133.076626809782,6164.310205879326,6130.498746739371,6231.668223101727,6073.5153598013685,6029.4893,5836,6085.686309234921
100,8119.713606580058,8147.853291479238,8185.215645476654,8101.674725452201,7936.934845753923,8107.1294,8563,8081.856111075909
101,2650.900926667851,2667.9585660773855,2705.6180362127066,2692.9256881316837,2577.976556159169,2441.1245,7426,2539.467671792181
102,18064.485489191295,18348.29505679998,18025.516158129605,18279.68593840496,17986.978996172238,18624.744,42154,18329.646765199497
103,9778.59821386901,9705.516158443663,9738.204857071609,9797.63415220334,9575.356384246505,8287.297,10601,9078.178377344131
104,16968.764189590376,17117.944655969506,17057.44459741273,16911.545831260664,16907.4046098036,17618.049,21529,17239.163252011655
105,5372.1042181207295,5336.112502970604,5363.146663334806,5531.309875274225,5516.6209312574865,5578.935,4440,5496.643829140626
106,11228.974271067636,11347.305454160933,11170.857754811806,11311.54802929564,10830.731754050325,10245.856,10979,10745.832798305548
107,5290.771028993805,5267.182607089029,5295.050160515899,5368.887426698724,5280.61149597217,5057.4424,5852,5187.339448961464
108,6168.1809019107695,6148.058236661655,6195.273771673451,6114.872667084455,6305.832064754417,6168.66,8725,6174.494522366657
109,4420.111188646462,4396.153466724434,4350.3521747673,4455.982029869018,4330.6618779160835,3828.4082,5284,4152.464905689336
110,6148.819278152411,6193.184338520388,6143.561197566607,6164.005403702509,6112.341088085702,6167.314,23657,6154.33955950624
111,7911.7908955422245,7960.278938534363,8142.072910934166,8055.679309436978,7964.983170051499,7676.5527,8386,7777.532154378613
112,5409.059626298718,5429.463024531419,5340.337047395556,5421.916224213866,5066.537984033677,5067.3965,13881,5228.234854159503
113,2832.233866572877,2834.1386095491025,2825.8871487531947,2800.623567909112,2770.499746558201,2870.0872,2336,2842.23284001564
114,18118.272708250403,18215.462694381644,18012.12526912841,18071.319620998143,17984.009701721843,18834.957,18710,18448.344813134758
115,7282.882776834306,7295.409755021643,7280.975740578328,7257.0440610708665,7300.503448250378,6666.007,7294,6997.233990801064
116,6419.485912730199,6384.326066493808,6484.340774812559,6486.309681035914,6364.670151574683,6861.198,8935,6613.0538317288
117,5694.727805041808,5719.261153883955,5675.833099622721,5671.532068877951,5719.6103111551365,5691.612,11467,5696.666323970693
118,6785.362378192608,6737.810784073833,6819.753249654392,6719.025073760708,6764.085640919447,6657.19,14478,6714.585056642348
119,8027.349132559818,7970.8531412349,7951.173296418837,8048.01966262112,8020.508816292369,7154.285,8120,7638.860436395798
120,15591.561315503484,15581.319799412822,15803.412111851054,15706.14776707934,15641.58671249372,17432.648,25010,16420.869549546518
121,3884.1127273394054,3879.629394358179,3781.2539186186536,3840.592104405431,3731.6783575811946,3986.4082,1533,3930.686703100436
122,5855.353265400667,5820.972177426359,5800.637889459223,5927.379976602477,5755.882801091544,5711.665,3247,5794.384393512665
123,8347.580571199944,8348.765397290872,8279.296209970737,8201.26595399419,8400.520687090875,7732.9287,29532,8069.653031638419
124,4489.458594291501,4468.944339396636,4431.79077221667,4305.879154022286,4455.869316827908,4052.7397,3288,4281.2214397107555
125,8989.391366686988,8984.85452630957,9153.770646596062,8961.110294574131,9300.7934275176,8098.2627,17791,8578.350489502422
